Sample	hisat_fragments	hisat_percent_pri_mapping	kal_pseudoalign_pairs	kal_percent_pseudoalign	tissue
PREP0311_NMeji15612A_A01v1_20908_bl_S1_L003	20655819	45.4	20704992	39	bl
PREP0311_NMeji15612A_A02v1_72872_bl_S9_L003	29429380	68.68	20772257	44.9	bl
PREP0311_NMeji15612A_A03v1_366494_h_S17_L003	17164647	43.84	10497980	24.8	h
PREP0311_NMeji15612A_A04v1_365326_h_S25_L003	25026980	53.62	16772382	34.4	h
PREP0311_NMeji15612A_A05v1_366488_l_S33_L003	32929825	71.86	23676337	49.5	l
PREP0311_NMeji15612A_A06v1_366497_l_S41_L003	22691431	61.9	14499319	36.7	l
PREP0311_NMeji15612A_A07v1_365339_g_S49_L003	40628394	81.1	27605389	53	g
PREP0311_NMeji15612A_A08v1_366497_br_S57_L003	31288518	76.55	15906502	37	br
PREP0311_NMeji15612A_B01v1_10993_bl_S2_L003	6290340	31.28	8836181	34.7	bl
PREP0311_NMeji15612A_B02v1_10702_bl_S10_L003	26744033	69.03	17429140	41.5	bl
PREP0311_NMeji15612A_B03v1_366493_h_S18_L003	20779118	53.19	13431504	31.6	h
PREP0311_NMeji15612A_B04v1_365339_h_S26_L003	24750714	55.4	16454342	35	h
PREP0311_NMeji15612A_B05v1_366487_l_S34_L003	29726146	59.54	22954532	43.7	l
PREP0311_NMeji15612A_B06v1_366499_g_S42_L003	34644106	77.44	23707650	50.7	g
PREP0311_NMeji15612A_B07v1_366497_g_S50_L003	26731124	66.17	14402395	33.6	g
PREP0311_NMeji15612A_B08v1_366487_e_S58_L003	35036768	75.87	18750259	38.6	e
PREP0311_NMeji15612A_C01v1_20946_bl_S3_L003	25970804	58.69	18474918	38.3	bl
PREP0311_NMeji15612A_C02v1_10752_bl_S11_L003	26981863	69.33	19447974	46.6	bl
PREP0311_NMeji15612A_C03v1_366490_h_S19_L003	31350313	60.05	14134807	25.7	h
PREP0311_NMeji15612A_C04v1_366497_h_S27_L003	9860664	37.96	9893807	32.8	h
PREP0311_NMeji15612A_C05v1_365338_l_S35_L003	32044878	70.47	23406146	49.4	l
PREP0311_NMeji15612A_C06v1_366498_g_S43_L003	34875749	72.23	25154437	49.4	g
PREP0311_NMeji15612A_C07v1_366499_br_S51_L003	29541952	66.84	14583329	31.3	br
PREP0311_NMeji15612A_C08v1_365337_e_S59_L003	33901831	80.15	17490178	39.6	e
PREP0311_NMeji15612A_D01v1_20952_bl_S4_L003	19252097	55.1	16623818	41.7	bl
PREP0311_NMeji15612A_D02v1_89780_bl_S12_L003	20842873	59.85	15357069	39.9	bl
PREP0311_NMeji15612A_D03v1_366488_h_S20_L003	24440518	56.89	14764389	32.9	h
PREP0311_NMeji15612A_D04v1_366499_l_S28_L003	29850419	66.29	23649708	50.2	l
PREP0311_NMeji15612A_D05v1_365337_l_S36_L003	27676894	73.75	19451526	49.9	l
PREP0311_NMeji15612A_D06v1_366493_g_S44_L003	35959479	76.2	22352846	45	g
PREP0311_NMeji15612A_D07v1_366498_br_S52_L003	29433496	74.02	12503318	29.9	br
PREP0311_NMeji15612A_D08v1_365336_e_S60_L003	33217000	76.27	17701962	38.9	e
PREP0311_NMeji15612A_E01v1_20934_bl_S5_L003	6078523	33.89	10207906	42.4	bl
PREP0311_NMeji15612A_E02v1_10717_bl_S13_L003	16808111	48.82	15672783	40.1	bl
PREP0311_NMeji15612A_E03v1_366487_h_S21_L003	33859974	63.67	16985414	30.7	h
PREP0311_NMeji15612A_E04v1_366498_l_S29_L003	28058928	61.48	20096163	41.1	l
PREP0311_NMeji15612A_E05v1_365336_l_S37_L003	30381166	70.37	23187778	51.4	l
PREP0311_NMeji15612A_E06v1_366490_g_S45_L003	34307264	72.52	21136344	42.7	g
PREP0311_NMeji15612A_E07v1_366494_br_S53_L003	28113944	73.79	14382925	36.2	br
PREP0311_NMeji15612A_E08v1_365335_e_S61_L003	32764153	69.52	16105754	32.8	e
PREP0311_NMeji15612A_F01v1_20970_bl_S6_L003	16610892	51.73	15669888	42.5	bl
PREP0311_NMeji15612A_F02v1_72852_bl_S14_L003	18349820	52.89	16715327	42.5	bl
PREP0311_NMeji15612A_F03v1_365338_h_S22_L003	22239995	57.66	14523772	35.9	h
PREP0311_NMeji15612A_F04v1_366494_l_S30_L003	20073332	57.72	14740658	39.4	l
PREP0311_NMeji15612A_F05v1_365335_l_S38_L003	23722880	55.09	16703162	36.2	l
PREP0311_NMeji15612A_F06v1_366488_g_S46_L003	37049145	77.09	25269431	50.4	g
PREP0311_NMeji15612A_F07v1_366493_br_S54_L003	25273882	74.96	12456114	35	br
PREP0311_NMeji15612A_F08v1_365326_e_S62_L003	29037418	74.15	15255518	37.3	e
PREP0311_NMeji15612A_G01v1_20930_bl_S7_L003	18886244	50.43	18174271	42.2	bl
PREP0311_NMeji15612A_G02v1_366499_h_S15_L003	18858521	43.51	11463766	25.2	h
PREP0311_NMeji15612A_G03v1_365337_h_S23_L003	24565031	60.04	16231237	37.9	h
PREP0311_NMeji15612A_G04v1_366493_l_S31_L003	24749455	63.87	17667169	42.8	l
PREP0311_NMeji15612A_G05v1_365327_l_S39_L003	30919268	70.07	25604838	55.5	l
PREP0311_NMeji15612A_G06v1_365337_g_S47_L003	36275052	73.91	19773978	38.6	g
PREP0311_NMeji15612A_G07v1_366488_br_S55_L003	31491805	75.45	14596116	33.4	br
PREP0311_NMeji15612A_H01v1_10831_bl_S8_L003	23945837	62.66	16317176	38.8	bl
PREP0311_NMeji15612A_H02v1_366498_h_S16_L003	12716394	42.58	11038462	32.9	h
PREP0311_NMeji15612A_H03v1_365327_h_S24_L003	25632764	58.1	18007718	39	h
PREP0311_NMeji15612A_H04v1_366490_l_S32_L003	30773696	73.19	19169643	43.6	l
PREP0311_NMeji15612A_H05v1_365339_l_S40_L003	32206452	67.42	23633875	47	l
PREP0311_NMeji15612A_H06v1_365335_g_S48_L003	38012373	81.34	25535899	52.5	g
PREP0311_NMeji15612A_H07v1_366487_br_S56_L003	32367712	75.26	15652595	34.8	br
