Percentile	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
PREP0311_NMeji15612A_A01v1_20908_bl_S1_L003_aligned.sorted	1347628.0	1503454.0	1591585.0	1666907.0	1737687.0	1799046.0	1859474.0	1927624.0	1982311.0	2016765.0	2071084.0	2133408.0	2192947.0	2218982.0	2241824.0	2264621.0	2329960.0	2409122.0	2463939.0	2461062.0	2440328.0	2507569.0	2552304.0	2547737.0	2505548.0	2504856.0	2528742.0	2546200.0	2609794.0	2644232.0	2707911.0	2738548.0	2742086.0	2762745.0	2789399.0	2812012.0	2827775.0	2864050.0	2926052.0	2955997.0	2915197.0	2908114.0	2911480.0	2910330.0	2928247.0	2948868.0	2968853.0	2998553.0	2943376.0	2935062.0	2965762.0	3001526.0	3043910.0	3036041.0	3049148.0	3065329.0	3078122.0	3066985.0	3076053.0	3093479.0	3082879.0	3110663.0	3118763.0	3103624.0	3097867.0	3085007.0	3076142.0	3093760.0	3121185.0	3129447.0	3146060.0	3183957.0	3218168.0	3243555.0	3272710.0	3346307.0	3347379.0	3348623.0	3374010.0	3380214.0	3382660.0	3369945.0	3389673.0	3430288.0	3486043.0	3544488.0	3593144.0	3603790.0	3653425.0	3684358.0	3676952.0	3711813.0	3721054.0	3727764.0	3757951.0	3788036.0	3834756.0	3815423.0	3710391.0	3671250.0
PREP0311_NMeji15612A_A02v1_72872_bl_S9_L003_aligned.sorted	2390530.0	2638758.0	2858188.0	3005113.0	3176039.0	3306033.0	3409476.0	3548939.0	3639226.0	3718712.0	3817927.0	3907568.0	3976100.0	4011581.0	4075760.0	4111532.0	4158397.0	4199331.0	4229533.0	4269478.0	4293341.0	4350281.0	4402540.0	4446484.0	4466733.0	4521278.0	4572093.0	4607464.0	4655440.0	4664917.0	4715449.0	4754481.0	4764616.0	4774593.0	4792589.0	4815009.0	4831264.0	4867831.0	4883973.0	4920454.0	4937532.0	4986985.0	5000871.0	5017865.0	5014678.0	5061403.0	5063961.0	5056606.0	5072693.0	5083893.0	5126673.0	5134625.0	5188288.0	5218464.0	5269125.0	5301607.0	5309025.0	5309541.0	5337917.0	5376597.0	5381152.0	5406546.0	5438914.0	5419296.0	5414751.0	5413904.0	5419183.0	5449013.0	5511467.0	5544174.0	5542981.0	5552734.0	5582718.0	5604470.0	5640203.0	5699343.0	5684690.0	5705386.0	5734652.0	5697943.0	5687243.0	5648203.0	5661020.0	5720574.0	5793974.0	5865619.0	5923681.0	5932808.0	5942904.0	5927386.0	5913523.0	5942808.0	5950103.0	5897456.0	5891136.0	5864561.0	5888310.0	5836575.0	5621356.0	5525260.0
PREP0311_NMeji15612A_A03v1_366494_h_S17_L003_aligned.sorted	1002277.0	1136749.0	1222919.0	1289663.0	1348696.0	1415881.0	1468650.0	1525520.0	1566861.0	1606527.0	1644006.0	1718629.0	1756684.0	1804628.0	1835470.0	1877762.0	1927538.0	1976186.0	2005753.0	2049176.0	2068494.0	2108196.0	2124702.0	2157623.0	2186156.0	2207399.0	2218346.0	2243094.0	2286224.0	2309883.0	2347242.0	2362775.0	2380310.0	2397370.0	2432289.0	2466713.0	2492700.0	2515337.0	2498835.0	2544157.0	2556496.0	2582476.0	2595163.0	2622457.0	2629157.0	2657224.0	2705488.0	2739915.0	2762225.0	2781232.0	2824506.0	2853567.0	2867434.0	2902742.0	2919637.0	2964349.0	3005533.0	3032732.0	3052227.0	3084591.0	3115373.0	3137135.0	3171613.0	3194439.0	3240633.0	3291377.0	3315457.0	3364668.0	3408895.0	3422729.0	3440195.0	3480882.0	3531681.0	3561017.0	3604105.0	3652526.0	3662999.0	3704990.0	3738864.0	3793247.0	3830915.0	3871255.0	3904837.0	3930856.0	3963762.0	4013169.0	4049250.0	4078153.0	4123074.0	4163964.0	4170414.0	4218422.0	4235916.0	4247785.0	4254939.0	4281242.0	4365429.0	4370678.0	4371356.0	4330806.0
PREP0311_NMeji15612A_A04v1_365326_h_S25_L003_aligned.sorted	2461667.0	2794781.0	3034742.0	3197828.0	3354282.0	3505225.0	3651960.0	3795337.0	3898321.0	4008069.0	4124437.0	4246654.0	4342286.0	4431946.0	4513208.0	4590625.0	4645240.0	4683960.0	4731144.0	4822319.0	4874075.0	4916375.0	4968895.0	5026049.0	5070407.0	5122879.0	5158130.0	5202461.0	5261148.0	5298670.0	5366230.0	5379499.0	5394433.0	5431610.0	5461479.0	5493997.0	5538495.0	5539447.0	5497910.0	5539192.0	5533097.0	5543151.0	5537962.0	5554769.0	5558574.0	5578950.0	5608343.0	5610745.0	5637291.0	5631173.0	5690158.0	5702009.0	5714873.0	5744292.0	5752247.0	5778121.0	5796948.0	5818066.0	5847252.0	5872688.0	5899155.0	5898168.0	5926670.0	5897769.0	5953706.0	6001146.0	6013619.0	6042647.0	6071986.0	6081281.0	6077647.0	6091090.0	6109025.0	6135377.0	6143978.0	6164394.0	6169908.0	6189691.0	6186460.0	6202135.0	6211633.0	6227363.0	6249457.0	6238225.0	6254648.0	6256517.0	6261179.0	6272413.0	6279122.0	6289620.0	6239832.0	6246612.0	6210109.0	6147236.0	6072042.0	6083340.0	6133357.0	6077902.0	5991102.0	5899148.0
PREP0311_NMeji15612A_A05v1_366488_l_S33_L003_aligned.sorted	2864157.0	3194967.0	3451628.0	3669951.0	3881121.0	4035208.0	4178233.0	4317717.0	4469537.0	4566106.0	4688949.0	4779354.0	4848110.0	4935856.0	5001482.0	5090828.0	5139200.0	5214020.0	5319379.0	5357407.0	5410084.0	5453477.0	5506897.0	5534720.0	5614609.0	5649871.0	5690679.0	5739443.0	5763004.0	5802949.0	5844480.0	5878491.0	5922183.0	5948011.0	5990114.0	6027287.0	6058787.0	6065821.0	6091407.0	6115511.0	6143096.0	6177183.0	6180823.0	6208348.0	6202547.0	6235111.0	6285695.0	6323726.0	6359856.0	6375566.0	6422650.0	6436467.0	6452317.0	6485576.0	6531414.0	6554547.0	6611000.0	6642147.0	6682181.0	6732404.0	6755234.0	6785262.0	6774718.0	6745291.0	6751899.0	6790364.0	6783579.0	6788871.0	6818403.0	6822748.0	6810191.0	6830208.0	6846768.0	6845991.0	6851588.0	6888371.0	6897539.0	6913716.0	6902165.0	6895729.0	6919257.0	6928235.0	6941077.0	6922235.0	6932963.0	6928332.0	6938327.0	6955322.0	6937623.0	6910604.0	6877187.0	6887330.0	6840989.0	6793798.0	6753942.0	6704173.0	6645114.0	6582114.0	6459568.0	6354408.0
PREP0311_NMeji15612A_A06v1_366497_l_S41_L003_aligned.sorted	1122059.0	1242319.0	1334355.0	1408569.0	1487826.0	1546772.0	1596451.0	1657365.0	1717589.0	1755519.0	1805782.0	1854833.0	1888790.0	1933274.0	1970622.0	2018243.0	2051940.0	2112091.0	2170317.0	2196265.0	2233088.0	2276719.0	2315252.0	2326389.0	2370197.0	2389554.0	2416596.0	2444994.0	2453945.0	2488882.0	2527141.0	2544254.0	2595101.0	2627269.0	2660724.0	2706230.0	2741763.0	2779520.0	2789847.0	2846248.0	2881034.0	2917773.0	2942313.0	2983135.0	2999453.0	3036450.0	3081962.0	3124806.0	3159125.0	3201677.0	3263480.0	3314894.0	3349655.0	3397532.0	3446197.0	3494660.0	3554776.0	3598760.0	3631842.0	3687148.0	3720539.0	3769694.0	3794568.0	3823362.0	3882637.0	3931200.0	3959854.0	4016741.0	4075568.0	4109787.0	4153359.0	4211758.0	4267106.0	4306068.0	4345271.0	4426010.0	4473707.0	4526839.0	4583312.0	4638642.0	4720141.0	4759148.0	4803308.0	4851320.0	4920733.0	4966544.0	5021991.0	5072406.0	5110789.0	5146860.0	5169382.0	5233257.0	5246051.0	5271249.0	5301506.0	5309304.0	5325906.0	5309024.0	5268516.0	5215619.0
PREP0311_NMeji15612A_A07v1_365339_g_S49_L003_aligned.sorted	5144086.0	5911706.0	6504217.0	6975361.0	7426781.0	7834974.0	8192794.0	8536086.0	8814979.0	9066439.0	9323027.0	9518566.0	9684191.0	9838010.0	10015718.0	10189624.0	10314025.0	10440998.0	10589653.0	10704727.0	10785670.0	10885922.0	10986487.0	11077696.0	11140114.0	11231031.0	11278823.0	11355875.0	11459793.0	11527194.0	11608305.0	11677481.0	11707443.0	11755432.0	11802495.0	11806593.0	11859990.0	11883380.0	11910447.0	11932330.0	11954741.0	12022003.0	12007463.0	12060049.0	12063337.0	12102288.0	12149417.0	12144378.0	12180971.0	12225127.0	12225738.0	12205632.0	12231152.0	12214801.0	12236991.0	12258130.0	12292497.0	12287277.0	12298142.0	12298095.0	12325060.0	12343025.0	12348788.0	12323091.0	12378446.0	12367473.0	12329925.0	12325293.0	12338613.0	12333874.0	12302783.0	12274494.0	12318193.0	12309655.0	12319200.0	12324623.0	12317752.0	12319367.0	12265611.0	12285374.0	12256978.0	12200576.0	12202265.0	12155909.0	12176407.0	12137095.0	12098311.0	12078566.0	12020289.0	11934327.0	11782273.0	11698610.0	11624319.0	11494111.0	11378084.0	11203834.0	11040698.0	10870774.0	10642343.0	10321516.0
PREP0311_NMeji15612A_A08v1_366497_br_S57_L003_aligned.sorted	2984930.0	3362731.0	3673216.0	3925489.0	4177822.0	4412151.0	4560581.0	4762642.0	4948629.0	5080987.0	5213282.0	5351029.0	5449775.0	5535318.0	5636011.0	5754353.0	5867203.0	5940476.0	6059025.0	6129952.0	6186674.0	6268903.0	6311238.0	6382081.0	6452785.0	6515304.0	6548263.0	6629273.0	6700552.0	6754862.0	6829731.0	6871374.0	6878923.0	6925525.0	6978213.0	7026658.0	7087142.0	7112449.0	7120061.0	7166112.0	7199582.0	7235173.0	7262952.0	7311008.0	7329804.0	7379448.0	7430032.0	7455622.0	7477860.0	7505905.0	7535841.0	7548140.0	7584383.0	7621085.0	7651141.0	7701034.0	7726495.0	7786693.0	7815147.0	7833043.0	7865528.0	7891724.0	7939202.0	7947669.0	7994264.0	8003733.0	7966250.0	7982738.0	8025716.0	8043185.0	8038824.0	8063399.0	8097756.0	8098742.0	8118961.0	8157184.0	8197296.0	8217771.0	8241302.0	8308641.0	8334280.0	8359978.0	8385317.0	8351854.0	8404427.0	8427187.0	8442908.0	8442406.0	8451655.0	8501664.0	8529357.0	8496459.0	8425786.0	8401649.0	8393053.0	8382324.0	8414514.0	8291380.0	8279176.0	8126683.0
PREP0311_NMeji15612A_B01v1_10993_bl_S2_L003_aligned.sorted	509188.0	580093.0	601619.0	604340.0	602625.0	606606.0	625575.0	642888.0	669381.0	683042.0	705201.0	730741.0	754518.0	759384.0	761880.0	767828.0	792816.0	847871.0	899343.0	868813.0	854568.0	928276.0	943134.0	893186.0	845496.0	816236.0	797973.0	784898.0	801360.0	801419.0	837279.0	859090.0	871002.0	882571.0	899950.0	918562.0	933444.0	955481.0	988688.0	1003089.0	978033.0	957774.0	956293.0	943863.0	937458.0	935844.0	948299.0	986688.0	940161.0	919852.0	931490.0	951693.0	983385.0	960128.0	965622.0	981017.0	1000156.0	984271.0	977938.0	980049.0	966204.0	969741.0	968051.0	964459.0	959167.0	951434.0	944583.0	941721.0	945008.0	947135.0	950273.0	965622.0	973405.0	975477.0	966382.0	975794.0	982641.0	972614.0	980037.0	984046.0	984283.0	986855.0	1003192.0	1008576.0	1023736.0	1040112.0	1045602.0	1040089.0	1050801.0	1051379.0	1041071.0	1040563.0	1033560.0	1037946.0	1042464.0	1045952.0	1056828.0	1042289.0	1002147.0	968975.0
PREP0311_NMeji15612A_B02v1_10702_bl_S10_L003_aligned.sorted	1730211.0	1932260.0	2098839.0	2211566.0	2332716.0	2421730.0	2499941.0	2614334.0	2691862.0	2752234.0	2835824.0	2917904.0	2979539.0	3016601.0	3070833.0	3103188.0	3152430.0	3208304.0	3244707.0	3275096.0	3297126.0	3343814.0	3390863.0	3422115.0	3426673.0	3461561.0	3493132.0	3527500.0	3573864.0	3599712.0	3651475.0	3693447.0	3709373.0	3727405.0	3750211.0	3785144.0	3803119.0	3840746.0	3864376.0	3892164.0	3900879.0	3942719.0	3962837.0	3983004.0	3986116.0	4029243.0	4040448.0	4040713.0	4061627.0	4073775.0	4112162.0	4125144.0	4182640.0	4210197.0	4262448.0	4301272.0	4321360.0	4324390.0	4344477.0	4382582.0	4389853.0	4425944.0	4461899.0	4462945.0	4463907.0	4450154.0	4449072.0	4483003.0	4535259.0	4580134.0	4595692.0	4627200.0	4657702.0	4683828.0	4728476.0	4803935.0	4812969.0	4839899.0	4856233.0	4834189.0	4831478.0	4804582.0	4827093.0	4889271.0	4971758.0	5059609.0	5124313.0	5133780.0	5164972.0	5169569.0	5176564.0	5203272.0	5210784.0	5191907.0	5226001.0	5228940.0	5283890.0	5249178.0	5060806.0	5008729.0
