indiv	community.1	community.11	community.13	community.14	community.15	community.16	community.17	community.18	community.19	community.2	community.20	community.21	community.22	community.23	community.25	community.27	community.28	community.29	community.3	community.30	community.31	community.32	community.33	community.36	community.37	community.4	community.6	community.8	community.9	priass	mean_het_comm	wt_avg_het_comm	species
AC_1603_72852	4.71E-06	0.002706623	0.002223389	0.002334861	0.001875526	0.00215282	0.001916246	0.001664313	0.001916639	0.002038873	0.000986149	0.00134483	0.001574508	0.002295887	0.002718377	0.001520776	0.00096855	0.00214215	NA	0.001445981	0.001836673	0.001651703	0.001917749	0.002323106	0.001972411	0.001538169	0.001691697	0.00161488	0.001674179	1321568138	0.001860496	0.001573411	AC
AC_1603_72872	0.000770395	0.002747962	0.001876881	0.002453557	0.001979137	0.002038529	0.00192952	0.001517505	0.001995254	0.001872086	0.001091734	0.001803523	0.001664868	0.002198321	0.002607321	0.001487965	0.000963416	0.002334963	NA	0.001504313	0.001790832	0.001581326	0.001800598	0.002286242	0.002396463	0.00145188	0.001618344	0.001608048	0.001586659	1293676373	0.001869253	0.001582036	AC
AC_1713_89780	0.000708655	0.002627521	0.002271654	0.002475451	0.001995995	0.002057007	0.001877318	0.001719704	0.001963117	0.002218086	0.001061913	0.001871468	0.001582915	0.001958935	0.002522488	0.001443276	0.001013747	0.002085806	NA	0.00144892	0.002073622	0.001804877	0.001947925	0.002360911	0.002552212	0.001590873	0.001641922	0.001613786	0.001633049	1299709869	0.001914671	0.001616652	AC
AC_1873_10093	0.000669694	0.002405664	0.002239326	0.002273474	0.001893382	0.001760628	0.001931978	0.001866084	0.001820336	0.002124064	0.001100261	0.00164463	0.001593758	0.002247421	0.002698172	0.001517196	0.001063174	0.002069923	NA	0.001515495	0.002031729	0.001488072	0.001924119	0.002257719	0.001855292	0.001552164	0.001412375	0.001556701	0.001591619	1272752777	0.001840121	0.001568721	AC
AC_1873_10702	5.45E-06	0.002740094	0.001756901	0.002179604	0.001334912	0.002144114	0.001946994	0.001683944	0.001723705	0.002045203	0.001059748	0.001778681	0.001435392	0.002164856	0.002457574	0.001254874	0.000762453	0.002309764	NA	0.001432204	0.002100491	0.001540173	0.001829103	0.001952044	0.002318852	0.001434499	0.00172885	0.001444194	0.001650498	1342494497	0.001790739	0.00153492	AC
AC_1873_10717	4.16E-06	0.002873123	0.002490441	0.002476739	0.00184463	0.001673011	0.001897832	0.001686138	0.001877914	0.002168222	0.001024257	0.001797412	0.001544492	0.002166126	0.00254212	0.001554977	0.000980591	0.00236948	NA	0.001335796	0.002001681	0.001815426	0.00183944	0.002386609	0.002584521	0.001517412	0.001629366	0.00154208	0.00153036	1309202568	0.001908455	0.001567972	AC
AC_1873_10752	2.02E-06	0.002642254	0.002157821	0.002342087	0.001785188	0.00195119	0.001580067	0.001733932	0.001902772	0.002109605	0.00102624	0.001824441	0.001645146	0.002089042	0.002617638	0.00156854	0.001067947	0.002094857	NA	0.00148572	0.001746631	0.001799572	0.001750689	0.00153766	0.002708663	0.001554076	0.001578522	0.001596913	0.001598138	1308536196	0.001842201	0.001576394	AC
AC_1873_10831	3.67E-06	0.002722071	0.002124809	0.002469727	0.001837993	0.001976892	0.001897341	0.001762925	0.001853675	0.002036294	0.001058219	0.00174954	0.001604798	0.00197059	0.002661918	0.001461766	0.000989702	0.002313047	NA	0.001292402	0.00214346	0.001879731	0.001820228	0.002472849	0.002470211	0.001410763	0.001680159	0.001596652	0.001658861	1337610544	0.001894529	0.001581425	AC
AC_1873_20908	0.00070938	0.00274739	0.002053778	0.002043808	0.001776143	0.00189548	0.001900916	0.001536976	0.001785214	0.002027618	0.001007808	0.001889081	0.00157054	0.002306445	0.002456284	0.00156854	0.000933586	0.002395212	NA	0.001586157	0.002101516	0.001827662	0.001948447	0.002279649	0.002056344	0.001452815	0.001394108	0.001489933	0.001686792	1298235983	0.001847363	0.001553265	AC
AC_1873_20930	5.00E-06	0.00283536	0.002023953	0.002216308	0.001836113	0.002052329	0.001915709	0.00179617	0.001869543	0.002162907	0.00104082	0.001875791	0.00159148	0.002055866	0.002746034	0.001702186	0.000895114	0.001995832	NA	0.001402458	0.001815188	0.001713034	0.001934351	0.002193409	0.002473898	0.001527368	0.001514244	0.001657632	0.001726602	1310478001	0.001878581	0.001595793	AC
