Cluster,RNA Sequence
Cluster 0,rna-XM_030275110.3.6
Cluster 1,rna-XM_041716471.1.6
Cluster 2,rna-XM_041714042.1.1
Cluster 3,rna-XM_004940386.5.3
Cluster 4,rna-XM_025145484.3.178
Cluster 5,rna-XM_041711978.1.101
Cluster 6,rna-XM_046942296.1.5
Cluster 7,rna-XM_040649509.2.28
Cluster 8,rna-XM_041720443.1.54
Cluster 9,rna-XM_004941212.5.24
Cluster 10,rna-XM_030275482.3.6
Cluster 11,rna-XM_015280553.4.6
Cluster 12,rna-XM_040706775.2.31
Cluster 13,rna-NM_001252376.3.11
Cluster 14,rna-XM_004942763.5.8
Cluster 15,rna-XM_015287795.4.5
Cluster 16,rna-XM_015285559.4.7
Cluster 17,rna-NM_001044633.2.3
Cluster 18,rna-XM_030268627.3.2
Cluster 19,rna-XM_004938796.5.2
Cluster 20,rna-XM_030259269.3.75
Cluster 21,rna-XM_424765.8.6
Cluster 22,rna-XM_030285431.3.26
Cluster 23,rna-XM_030277916.3.11
Cluster 24,rna-XM_040649865.2.28
Cluster 25,rna-XM_030285478.3.26
Cluster 26,rna-XM_414584.8.19
Cluster 27,rna-XM_040651392.2.89
Cluster 28,rna-XM_414854.8.15
Cluster 29,rna-XM_030283147.3.13
Cluster 30,rna-XM_040707269.2.16
Cluster 31,rna-XM_032752093.2.54
Cluster 32,rna-NM_204658.4.1
Cluster 33,rna-XM_041719766.1.24
Cluster 34,rna-XM_030284746.3.16
Cluster 35,rna-XM_030272170.3.3
Cluster 36,rna-XM_015289303.4.35
Cluster 37,rna-XM_015293383.4.13
Cluster 38,rna-XM_025143342.3.77
Cluster 39,rna-XM_030264660.3.1
Cluster 40,rna-XM_041716472.1.6
Cluster 41,rna-XM_025151299.3.5
Cluster 42,rna-XM_030270896.3.10
Cluster 43,rna-XM_004945110.5.15
Cluster 44,rna-XM_046943930.1.8
Cluster 45,rna-XM_046939483.1.20
Cluster 46,rna-XM_030287316.3.96
Cluster 47,rna-XM_001232999.6.31
Cluster 48,rna-XM_015280699.4.29
Cluster 49,rna-XM_015296659.4.38
Cluster 50,rna-XM_030282375.3.20
Cluster 51,rna-XM_414907.8.68
Cluster 52,rna-XM_030278945.3.9
Cluster 53,rna-XM_001235155.7.1
Cluster 54,rna-XM_030268766.3.23
Cluster 55,rna-NM_001396678.1.1
Cluster 56,rna-XM_030289435.3.54
Cluster 57,rna-XM_030270343.3.3
Cluster 58,rna-XM_015290098.4.8
Cluster 59,rna-XM_041719168.1.16
Cluster 60,rna-XM_030257714.3.7
Cluster 61,rna-XM_030273852.3.6
Cluster 62,rna-XM_030279381.3.9
Cluster 63,rna-XM_040667503.2.4
Cluster 64,rna-XM_004175053.5.10
Cluster 65,rna-XM_030266093.3.1
Cluster 66,rna-XM_030277990.3.25
Cluster 67,rna-XM_040697993.2.40
Cluster 68,rna-XM_025154618.3.13
Cluster 69,rna-XM_046901516.1.736
Cluster 70,rna-XM_417264.8.1222
Cluster 71,rna-XM_041721341.1.44
Cluster 72,rna-XM_025150857.3.5
Cluster 73,rna-XM_015292137.4.14
Cluster 74,rna-XM_030261807.3.4
Cluster 75,rna-XM_015289145.4.35
Cluster 76,rna-XM_030287428.3.61
Cluster 77,rna-XM_015280270.4.6
Cluster 78,rna-XM_041711161.1.7
Cluster 79,rna-XM_030276025.3.8
Cluster 80,rna-XM_030261644.3.4
Cluster 81,rna-XM_015284579.4.3
Cluster 82,rna-XM_417087.8.2
Cluster 83,rna-XM_030279607.3.9
Cluster 84,rna-XM_040648322.2.50
Cluster 85,rna-XM_040696832.2.3
Cluster 86,rna-XM_015285495.4.7
Cluster 87,rna-XM_015280678.4.74
Cluster 88,rna-XM_030276565.3.8
Cluster 89,rna-NM_001199806.2.1
Cluster 90,rna-XM_030270625.3.3
Cluster 91,rna-XM_040706497.2.14
Cluster 92,rna-XM_030270356.3.5
Cluster 93,rna-XM_041711472.1.28
Cluster 94,rna-XM_041718767.1.13
Cluster 95,rna-XM_030270759.3.3
Cluster 96,rna-XM_030291465.3.62
Cluster 97,rna-NM_001077586.4.1
Cluster 98,rna-XM_030274462.3.10
Cluster 99,rna-XM_040652818.2.81
Cluster 100,rna-XM_041716534.1.6
Cluster 101,rna-XM_015286051.4.82
Cluster 102,rna-NM_001389530.3.18
Cluster 103,rna-XM_004939508.5.45
Cluster 104,rna-XM_040647498.2.15
Cluster 105,rna-XM_015283614.4.3
Cluster 106,rna-XM_030263930.3.4
Cluster 107,rna-XM_046915547.1.4
Cluster 108,rna-XM_424715.8.66
Cluster 109,rna-XM_041719938.1.29
Cluster 110,rna-XM_046899548.1.21
Cluster 111,rna-XM_015292481.4.21
Cluster 112,rna-XM_418173.8.86
Cluster 113,rna-XM_015291934.4.14
Cluster 114,rna-XM_015281203.4.1
Cluster 115,rna-NM_001396680.1.18
Cluster 116,rna-XM_004939665.5.1
Cluster 117,rna-XM_040647286.2.19
Cluster 118,rna-XM_040699342.2.24
Cluster 119,rna-XM_040655708.2.29
Cluster 120,rna-XM_030263687.3.4
Cluster 121,rna-XM_041714285.1.1
Cluster 122,rna-XM_002190020.5.5
Cluster 123,rna-XM_030289102.3.30
Cluster 124,rna-XM_004947281.5.38
Cluster 125,rna-XM_040696373.2.1
Cluster 126,rna-XM_040646075.2.13
Cluster 127,rna-XM_030262505.3.4
Cluster 128,rna-XM_041719624.1.24
Cluster 129,rna-XM_041714024.1.1
Cluster 130,rna-XM_041720263.1.18
Cluster 131,rna-XM_004942671.5.8
Cluster 132,rna-XM_041718313.1.19
Cluster 133,rna-XM_015288249.4.98
Cluster 134,rna-XM_046944369.1.32
Cluster 135,rna-XM_419852.8.3
Cluster 136,rna-XM_040653646.2.86
Cluster 137,rna-XM_030274887.3.6
Cluster 138,rna-XM_046899551.1.16
Cluster 139,rna-XM_041721087.1.62
Cluster 140,rna-XM_012571776.4.14
Cluster 141,rna-XM_030266881.3.1
Cluster 142,rna-XM_030271471.3.3
Cluster 143,rna-XM_015298987.4.88
Cluster 144,rna-XM_015287370.4.5
Cluster 145,rna-XM_032752395.2.4
Cluster 146,rna-XM_041713331.1.4
Cluster 147,rna-XM_030257570.3.7
Cluster 148,rna-XM_030270199.3.3
Cluster 149,rna-XM_015275397.4.22
Cluster 150,rna-XM_015276960.4.12
Cluster 151,rna-XM_015292937.4.13
Cluster 152,rna-XM_025153141.3.4
Cluster 153,rna-XM_030276647.3.8
Cluster 154,rna-XM_015293510.4.37
Cluster 155,rna-XM_416549.8.34
Cluster 156,rna-XM_030281926.3.48
Cluster 157,rna-XM_015291187.4.10
Cluster 158,rna-XM_030282825.3.13
Cluster 159,rna-XM_041711977.1.554
Cluster 160,rna-XM_015299123.4.59
